STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,REF_AREA,,MEASURE,,UNIT_MEASURE,,VERSION,,TIME_PERIOD,,OBS_VALUE,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,CRI,,EPL_OV,,0_TO_6,,VERSION4,,2014,,0.849206388,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,CZE,,EPL_OV,,0_TO_6,,VERSION4,,2014,,3.025262117,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,DNK,,EPL_OV,,0_TO_6,,VERSION4,,2014,,1.937693,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,EST,,EPL_OV,,0_TO_6,,VERSION4,,2014,,1.934222698,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,FIN,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.518016577,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,FRA,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.812613726,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,DEU,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.332411051,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,GRC,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.591600657,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,HUN,,EPL_OV,,0_TO_6,,VERSION4,,2014,,1.76733458,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,ISL,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.203089476,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,IRL,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.134929419,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,ISR,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.832093239,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,ITA,,EPL_OV,,0_TO_6,,VERSION4,,2014,,3.103652954,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,JPN,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.080915213,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,KOR,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.385948181,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,LVA,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.708120823,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,LTU,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.633250952,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,LUX,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.541836739,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,MEX,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.464817286,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,NLD,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.55173254,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,NZL,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.085777998,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,NOR,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.373485327,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,POL,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.385318041,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,PRT,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.871757984,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,SVK,,EPL_OV,,0_TO_6,,VERSION4,,2014,,2.33060503,,F,,2,,A,,0,
